Code	LUSE_TYPE	RUNOFF_VEG	VEG_AREA	BARE_AREA	IMP_AREA	OPENW_AREA	ROOT_DEPTH	LAI	MIN_STOM	VEG_HEIGHT	nManing	LandFactor	AerodynResistance
1	city center build up	grass	0.2	0	0.8	0	0.3	2	100	0.12	0.03	0.667	212.0135336
2	build up	grass	0.5	0	0.5	0	0.3	2	100	0.12	0.04	0.5	212.0135336
3	industry	grass	0.4	0	0.6	0	0.3	2	100	0.12	0.035	0.571	212.0135336
4	infrastructure	grass	0.6	0.1	0.3	0	0.3	2	100	0.12	0.04	0.5	212.0135336
5	sea harbour	grass	0.6	0.1	0.3	0	0.3	2	100	0.12	0.045	0.444	212.0135336
6	airport	grass	0.2	0	0.8	0	0.3	2	100	0.12	0.03	0.667	212.0135336
7	excavation	bare soil	0	1	0	0	0.05	0	110	0.001	0.09	0.222	426.6675763
10	open build up	grass	0.6	0.1	0.3	0	0.3	2	100	0.12	0.045	0.444	212.0135336
21	agriculture	crop	0.8	0.2	0	0	0.4	4	180	0.6	0.037	0.541	115.0131136
23	meadow	grass	1	0	0	0	0.3	2	100	0.2	0.07	0.286	177.4676321
27	maize and tuberous p	crop	0.8	0.2	0	0	0.3	4	180	1.5	0.05	0.4	76.02445568
28	wet meadow	grass	1	0	0	0	0.3	2	100	0.3	0.055	0.364	152.4954008
29	orchard	forest	0.8	0.2	0	0	0.8	6	150	3	0.05	0.4	54.69944736
31	deciduous forest	forest	1	0	0	0	2	5	250	18	0.1	0.2	27.19617047
32	coniferous forest	forest	1	0	0	0	2	6	500	15	0.1	0.2	28.63060022
33	mixed forest	forest	1	0	0	0	2	5	375	16	0.1	0.2	28.09756947
35	heather	grass	1	0	0	0	0.2	6	110	0.75	0.05	0.4	104.3903884
36	shrub	grass	1	0	0	0	0.6	6	110	2	0.05	0.4	66.32866791
37	beach/dune	bare soil	0.3	0.7	0	0	0.5	2	110	1	0.04	0.5	91.76072902
44	mud flat/salt marsh	open water	0.4	0.2	0	0.4	0.3	2	110	0.5	0.035	0.571	124.2208894
51	navigable river	open water	0	0	0	1	0.05	0	110	0.001	0.02	1	426.6675763
52	lake	open water	0	0	0	1	0.05	0	110	0.001	0.02	1	426.6675763
53	estuary	open water	0	0	0	1	0.05	0	110	0.001	0.02	1	426.6675763
54	sea	open water	0	0	0	1	0.05	0	110	0.001	0.02	1	426.6675763
55	unnavigable river	open water	0	0	0	1	0.05	0	110	0.001	0.02	1	426.6675763
201	highway	grass	0.6	0.1	0.3	0	0.3	2	100	0.12	0.025	0.8	212.0135336
202	district road	grass	0.6	0.1	0.3	0	0.3	2	100	0.12	0.04	0.5	212.0135336
301	spruce	forest	1	0	0	0	2	12	320	13	0.4	0.05	29.91872197
302	pine	forest	1	0	0	0	2	6	550	15	0.4	0.05	28.63060022
303	beech	forest	1	0	0	0	2	6	320	20	0.4	0.05	26.4629516
304	birch	forest	1	0	0	0	2	5	320	16	0.4	0.05	28.09756947
305	oak	forest	1	0	0	0	2	4	150	17	0.4	0.05	27.62241558
306	poplar	forest	1	0	0	0	2	5	250	18	0.4	0.05	27.19617047
307	reference grass	grass	1	0	0	0	0.3	2	140	0.12	0.035	0.571	212.0135336
